n,m,n1,m1,Temps_sousMat1,Temps_sousMat2
100,100,2,2,0.000000,0.000000
100,100,3,3,0.000000,0.000000
100,100,4,4,0.000000,0.000000
200,200,2,2,0.000000,0.000000
200,200,3,3,0.000000,0.000000
200,200,4,4,0.000000,0.000000
500,500,2,2,0.000000,0.000000
500,500,3,3,0.000000,0.000000
500,500,4,4,0.000000,0.000000
700,700,2,2,0.000000,0.000000
700,700,3,3,0.000000,0.000000
700,700,4,4,0.000000,0.000000
1000,1000,2,2,0.000000,0.000000
1000,1000,3,3,0.000000,0.000000
1000,1000,4,4,0.000000,0.000000
2000,2000,2,2,0.000000,0.000000
2000,2000,3,3,0.000000,0.000000
2000,2000,4,4,0.000000,0.000000
3000,3000,2,2,0.000000,0.000000
3000,3000,3,3,0.000000,0.000000
3000,3000,4,4,0.000000,0.000000
5000,5000,2,2,0.000000,0.000000
5000,5000,3,3,0.000000,0.000000
5000,5000,4,4,0.000000,0.000000
